Num_Acc,id_usager,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,com,jour,mois,an,hrmn,lum,agg,int,atm,col,lat,long,catr,circ,nbv,surf,infra,situ,vma,catv,obs,obsm,choc,manv,motor,pluie_mm,pluie_presence,pluie_cumul_3h,pluie_cumul_6h,pluie_cumul_24h,temperature,grav_label,grav_ord,grave,type_vehicule,eclairage,atm_groupe,chaussee_mouillee,type_route,type_collision,role,equipement,sexe_label,en_agglomeration,motif,age,age_groupe,date_acc,jour_semaine,weekend,heure,nuit,heure_groupe,log_pluie_3h,log_pluie_6h,log_pluie_24h,pluie_6h_classe
202400051391,203 866 610,155 691 327,A01,1,1,4,1,2007.0,2,2,6,-1,-1, -1,-1,97411,27,3,2024,12:13,1,2,1,1,2," -20,89194000","55,45276000",4,2,2,1,0,1,30,30,14,2,4,2,1,0.0,0,0.0,0.0,0.0,24.1,blessé léger,1,0,2RM ≤50cm³,jour,normale,0,communale,arrière,conducteur,casque,homme,1,domicile-école,17.0,<18,2024-03-27,2,0,12,0,déjeuner,0.0,0.0,0.0,0 mm
202400051391,203 866 618,155 691 334,B01,1,1,1,1,1976.0,1,1,0,-1,-1, -1,-1,97411,27,3,2024,12:13,1,2,1,1,2," -20,89194000","55,45276000",4,2,2,1,0,1,30,10,0,2,4,23,1,0.0,0,0.0,0.0,0.0,24.1,indemne,0,0,utilitaire,jour,normale,0,communale,arrière,conducteur,ceinture,homme,1,domicile-travail,48.0,35-50,2024-03-27,2,0,12,0,déjeuner,0.0,0.0,0.0,0 mm
202400051398,203 866 600,155 691 318,A01,1,1,3,1,2012.0,5,8,0,-1,-1, -1,-1,97411,27,3,2024,10:41,1,1,1,1,6," -20,90257000","55,39846000",4,2,2,1,0,1,50,1,6,0,1,0,5,0.0,0,0.0,0.0,0.0,22.0,hospitalisé,2,1,vélo/VAE,jour,normale,0,communale,autre/multiple,conducteur,non déterminable,homme,0,promenade,12.0,<18,2024-03-27,2,0,10,0,matin,0.0,0.0,0.0,0 mm
202400051460,203 866 453,155 691 213,A01,1,1,3,1,2003.0,0,8,-1,-1,0,0,-1,97415,4,1,2024,09:30,1,1,1,2,1," -21,02258200","55,27374000",3,2,3,2,0,1,80,7,13,2,3,13,1,0.0,0,0.0,0.0,0.5,,hospitalisé,2,1,voiture,jour,pluie,1,départementale,frontale,conducteur,non déterminable,homme,0,inconnu,21.0,18-25,2024-01-04,3,0,9,0,matin,0.0,0.0,0.4054651081081644,0 mm
202400051460,203 866 461,155 691 220,B01,2,2,3,2,1975.0,0,1,-1,-1,0,0,-1,97415,4,1,2024,09:30,1,1,1,2,1," -21,02258200","55,27374000",3,2,3,2,0,1,80,7,0,2,2,1,1,0.0,0,0.0,0.0,0.5,,hospitalisé,2,1,voiture,jour,pluie,1,départementale,frontale,passager,ceinture,femme,0,inconnu,49.0,35-50,2024-01-04,3,0,9,0,matin,0.0,0.0,0.4054651081081644,0 mm
202400051460,203 866 466,155 691 220,B01,9,2,3,2,1987.0,0,1,-1,-1,0,0,-1,97415,4,1,2024,09:30,1,1,1,2,1," -21,02258200","55,27374000",3,2,3,2,0,1,80,7,0,2,2,1,1,0.0,0,0.0,0.0,0.5,,hospitalisé,2,1,voiture,jour,pluie,1,départementale,frontale,passager,ceinture,femme,0,inconnu,37.0,35-50,2024-01-04,3,0,9,0,matin,0.0,0.0,0.4054651081081644,0 mm
202400051460,203 866 469,155 691 220,B01,7,2,2,2,1953.0,0,1,-1,-1,0,0,-1,97415,4,1,2024,09:30,1,1,1,2,1," -21,02258200","55,27374000",3,2,3,2,0,1,80,7,0,2,2,1,1,0.0,0,0.0,0.0,0.5,,tué,3,1,voiture,jour,pluie,1,départementale,frontale,passager,ceinture,femme,0,inconnu,71.0,65+,2024-01-04,3,0,9,0,matin,0.0,0.0,0.4054651081081644,0 mm
202400051460,203 866 472,155 691 220,B01,1,1,4,1,1974.0,5,1,-1,-1,0,0,-1,97415,4,1,2024,09:30,1,1,1,2,1," -21,02258200","55,27374000",3,2,3,2,0,1,80,7,0,2,2,1,1,0.0,0,0.0,0.0,0.5,,blessé léger,1,0,voiture,jour,pluie,1,départementale,frontale,conducteur,ceinture,homme,0,promenade,50.0,35-50,2024-01-04,3,0,9,0,matin,0.0,0.0,0.4054651081081644,0 mm
202400051744,203 865 798,155 690 720,A01,1,1,1,-1,,-1,-1,-1,-1,-1, -1,-1,97416,9,6,2024,17:00,2,1,1,1,3," -21,31600000","55,45160000",4,2,2,1,0,1,50,30,0,2,0,18,1,0.0,0,0.0,0.0,0.0,24.4,indemne,0,0,2RM ≤50cm³,crépuscule,normale,0,communale,côté,conducteur,inconnu,inconnu,0,inconnu,,,2024-06-09,6,1,17,0,pointe soir,0.0,0.0,0.0,0 mm
202400051744,203 865 805,155 690 726,B01,1,1,4,2,2008.0,0,2,6,-1,-1, -1,-1,97416,9,6,2024,17:00,2,1,1,1,3," -21,31600000","55,45160000",4,2,2,1,0,1,50,2,0,2,8,1,1,0.0,0,0.0,0.0,0.0,24.4,blessé léger,1,0,2RM ≤50cm³,crépuscule,normale,0,communale,côté,conducteur,casque,femme,0,inconnu,16.0,<18,2024-06-09,6,1,17,0,pointe soir,0.0,0.0,0.0,0 mm
202400051843,203 865 557,155 690 546,A01,2,2,1,2,2008.0,2,1,0,-1,-1, -1,-1,97416,14,2,2024,06:35,1,1,1,1,6," -21,28291000","55,46431000",3,2,2,1,0,3,80,7,0,1,7,1,1,,0,,,,,indemne,0,0,voiture,jour,normale,0,départementale,autre/multiple,passager,ceinture,femme,0,domicile-école,16.0,<18,2024-02-14,2,0,6,0,pointe matin,,,,
202400051843,203 865 559,155 690 546,A01,10,3,4,1,1957.0,0,0,-1,-1,6,3,1,97416,14,2,2024,06:35,1,1,1,1,6," -21,28291000","55,46431000",3,2,2,1,0,3,80,7,0,1,7,1,1,,0,,,,,blessé léger,1,0,voiture,jour,normale,0,départementale,autre/multiple,piéton,sans équipement,homme,0,inconnu,67.0,65+,2024-02-14,2,0,6,0,pointe matin,,,,
202400051843,203 865 562,155 690 546,A01,1,1,1,1,1978.0,1,1,0,-1,-1, -1,-1,97416,14,2,2024,06:35,1,1,1,1,6," -21,28291000","55,46431000",3,2,2,1,0,3,80,7,0,1,7,1,1,,0,,,,,indemne,0,0,voiture,jour,normale,0,départementale,autre/multiple,conducteur,ceinture,homme,0,domicile-travail,46.0,35-50,2024-02-14,2,0,6,0,pointe matin,,,,
202400051854,203 865 531,155 690 528,B01,1,1,4,1,1999.0,5,8,0,-1,-1, -1,-1,97411,12,2,2024,16:45,1,2,3,1,3," -20,88632000","55,46969000",4,-1,1,1,9,1,30,50,0,2,1,1,3,0.0,0,0.0,0.0,0.0,32.1,blessé léger,1,0,EDP (trottinette),jour,normale,0,communale,côté,conducteur,non déterminable,homme,1,promenade,25.0,18-25,2024-02-12,0,0,16,0,après-midi,0.0,0.0,0.0,0 mm
202400051854,203 865 531,155 690 528,B01,1,1,4,1,1999.0,5,8,0,-1,-1, -1,-1,97411,12,2,2024,16:45,1,2,3,1,3," -20,88632000","55,46969000",4,-1,1,1,9,1,30,50,0,2,1,1,3,0.0,0,0.0,0.0,0.0,32.1,blessé léger,1,0,EDP (trottinette),jour,normale,0,communale,côté,conducteur,non déterminable,homme,1,promenade,25.0,18-25,2024-02-12,0,0,16,0,après-midi,0.0,0.0,0.0,0 mm
202400051854,203 865 541,155 690 535,A01,10,3,1,1,1996.0,9,0,-1,-1,5,9,1,97411,12,2,2024,16:45,1,2,3,1,3," -20,88632000","55,46969000",4,-1,1,1,9,1,30,7,0,2,3,26,1,0.0,0,0.0,0.0,0.0,32.1,indemne,0,0,voiture,jour,normale,0,communale,côté,piéton,sans équipement,homme,1,autre,28.0,25-35,2024-02-12,0,0,16,0,après-midi,0.0,0.0,0.0,0 mm
202400051854,203 865 541,155 690 535,A01,10,3,1,1,1996.0,9,0,-1,-1,5,9,1,97411,12,2,2024,16:45,1,2,3,1,3," -20,88632000","55,46969000",4,-1,1,1,9,1,30,7,0,2,3,26,1,0.0,0,0.0,0.0,0.0,32.1,indemne,0,0,voiture,jour,normale,0,communale,côté,piéton,sans équipement,homme,1,autre,28.0,25-35,2024-02-12,0,0,16,0,après-midi,0.0,0.0,0.0,0 mm
